"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M1","TOT","IDX2015","M","2012-01",65.22812,
"AUS","M1","TOT","IDX2015","M","2012-02",65.16962,
"AUS","M1","TOT","IDX2015","M","2012-03",65.05262,
"AUS","M1","TOT","IDX2015","M","2012-04",65.29394,
"AUS","M1","TOT","IDX2015","M","2012-05",65.93744,
"AUS","M1","TOT","IDX2015","M","2012-06",66.85151,
"AUS","M1","TOT","IDX2015","M","2012-07",68.27747,
"AUS","M1","TOT","IDX2015","M","2012-08",69.57178,
"AUS","M1","TOT","IDX2015","M","2012-09",70.16411,
"AUS","M1","TOT","IDX2015","M","2012-10",70.32498,
"AUS","M1","TOT","IDX2015","M","2012-11",70.43467,
"AUS","M1","TOT","IDX2015","M","2012-12",71.47305,
"AUS","M1","TOT","IDX2015","M","2013-01",72.86244,
"AUS","M1","TOT","IDX2015","M","2013-02",73.85696,
"AUS","M1","TOT","IDX2015","M","2013-03",74.77103,
"AUS","M1","TOT","IDX2015","M","2013-04",75.41453,
"AUS","M1","TOT","IDX2015","M","2013-05",76.2701,
"AUS","M1","TOT","IDX2015","M","2013-06",77.27193,
"AUS","M1","TOT","IDX2015","M","2013-07",77.5498,
"AUS","M1","TOT","IDX2015","M","2013-08",77.85693,
"AUS","M1","TOT","IDX2015","M","2013-09",78.71981,
"AUS","M1","TOT","IDX2015","M","2013-10",79.91908,
"AUS","M1","TOT","IDX2015","M","2013-11",81.08177,
"AUS","M1","TOT","IDX2015","M","2013-12",82.24447,
"AUS","M1","TOT","IDX2015","M","2014-01",83.14392,
"AUS","M1","TOT","IDX2015","M","2014-02",83.56805,
"AUS","M1","TOT","IDX2015","M","2014-03",84.18961,
"AUS","M1","TOT","IDX2015","M","2014-04",85.111,
"AUS","M1","TOT","IDX2015","M","2014-05",85.90807,
"AUS","M1","TOT","IDX2015","M","2014-06",86.91721,
"AUS","M1","TOT","IDX2015","M","2014-07",87.8459,
"AUS","M1","TOT","IDX2015","M","2014-08",88.3139,
"AUS","M1","TOT","IDX2015","M","2014-09",89.13291,
"AUS","M1","TOT","IDX2015","M","2014-10",89.94461,
"AUS","M1","TOT","IDX2015","M","2014-11",90.61736,
"AUS","M1","TOT","IDX2015","M","2014-12",91.86781,
"AUS","M1","TOT","IDX2015","M","2015-01",93.09632,
"AUS","M1","TOT","IDX2015","M","2015-02",94.66122,
"AUS","M1","TOT","IDX2015","M","2015-03",96.25536,
"AUS","M1","TOT","IDX2015","M","2015-04",97.34492,
"AUS","M1","TOT","IDX2015","M","2015-05",98.50763,
"AUS","M1","TOT","IDX2015","M","2015-06",99.39245,
"AUS","M1","TOT","IDX2015","M","2015-07",100.599,
"AUS","M1","TOT","IDX2015","M","2015-08",101.9811,
"AUS","M1","TOT","IDX2015","M","2015-09",103.0487,
"AUS","M1","TOT","IDX2015","M","2015-10",104.2553,
"AUS","M1","TOT","IDX2015","M","2015-11",105.2644,
"AUS","M1","TOT","IDX2015","M","2015-12",105.5935,
"AUS","M1","TOT","IDX2015","M","2016-01",106.2882,
"AUS","M1","TOT","IDX2015","M","2016-02",107.3485,
"AUS","M1","TOT","IDX2015","M","2016-03",108.0725,
"AUS","M1","TOT","IDX2015","M","2016-04",108.6575,
"AUS","M1","TOT","IDX2015","M","2016-05",109.0085,
"AUS","M1","TOT","IDX2015","M","2016-06",109.4034,
"AUS","M1","TOT","IDX2015","M","2016-07",110.0469,
"AUS","M1","TOT","IDX2015","M","2016-08",110.2955,
"AUS","M1","TOT","IDX2015","M","2016-09",110.6977,
"AUS","M1","TOT","IDX2015","M","2016-10",111.3558,
"AUS","M1","TOT","IDX2015","M","2016-11",112.5916,
"AUS","M1","TOT","IDX2015","M","2016-12",114.1346,
"AUS","M1","TOT","IDX2015","M","2017-01",115.4435,
"AUS","M1","TOT","IDX2015","M","2017-02",116.7232,
"AUS","M1","TOT","IDX2015","M","2017-03",117.4837,
"AUS","M1","TOT","IDX2015","M","2017-04",118.4198,
"AUS","M1","TOT","IDX2015","M","2017-05",119.6556,
"AUS","M1","TOT","IDX2015","M","2017-06",120.4746,
"AUS","M1","TOT","IDX2015","M","2017-07",120.8695,
"AUS","M1","TOT","IDX2015","M","2017-08",121.1327,
"AUS","M1","TOT","IDX2015","M","2017-09",121.4179,
"AUS","M1","TOT","IDX2015","M","2017-10",122.0687,
"AUS","M1","TOT","IDX2015","M","2017-11",123.3996,
"AUS","M1","TOT","IDX2015","M","2017-12",124.7378,
"AUS","M1","TOT","IDX2015","M","2018-01",125.6299,
"AUS","M1","TOT","IDX2015","M","2018-02",126.3612,
"AUS","M1","TOT","IDX2015","M","2018-03",126.8877,
"AUS","M1","TOT","IDX2015","M","2018-04",127.129,
"AUS","M1","TOT","IDX2015","M","2018-05",127.6117,
"AUS","M1","TOT","IDX2015","M","2018-06",127.6848,
"AUS","M1","TOT","IDX2015","M","2018-07",126.7707,
"AUS","M1","TOT","IDX2015","M","2018-08",126.6025,
"AUS","M1","TOT","IDX2015","M","2018-09",126.8146,
"AUS","M1","TOT","IDX2015","M","2018-10",126.778,
"AUS","M1","TOT","IDX2015","M","2018-11",127.0486,
"AUS","M1","TOT","IDX2015","M","2018-12",127.8383,
"AUS","M1","TOT","IDX2015","M","2019-01",128.7232,
"AUS","M1","TOT","IDX2015","M","2019-02",129.2204,
"AUS","M1","TOT","IDX2015","M","2019-03",129.6226,
"AUS","M1","TOT","IDX2015","M","2019-04",130.4928,
"AUS","M1","TOT","IDX2015","M","2019-05",131.4215,
"AUS","M1","TOT","IDX2015","M","2019-06",132.2917,
"AUS","M1","TOT","IDX2015","M","2019-07",140.7231,
"AUS","M1","TOT","IDX2015","M","2019-08",148.9497,
"AUS","M1","TOT","IDX2015","M","2019-09",150.2002,
"AUS","M1","TOT","IDX2015","M","2019-10",152.4232,
"AUS","M1","TOT","IDX2015","M","2019-11",154.6828,
"AUS","M1","TOT","IDX2015","M","2019-12",156.3574,
"AUS","M1","TOT","IDX2015","M","2020-01",158.5511,
"AUS","M1","TOT","IDX2015","M","2020-02",160.8253,
"AUS","M1","TOT","IDX2015","M","2020-03",167.9332,
"AUS","M1","TOT","IDX2015","M","2020-04",177.2567,
"AUS","M1","TOT","IDX2015","M","2020-05",181.1324,
"AUS","M1","TOT","IDX2015","M","2020-06",183.1726,
"AUS","M1","TOT","IDX2015","M","2020-07",185.5565,
"AUS","M1","TOT","IDX2015","M","2020-08",187.5382,
"AUS","M1","TOT","IDX2015","M","2020-09",189.8636,
"AUS","M1","TOT","IDX2015","M","2020-10",193.008,
"AUS","M1","TOT","IDX2015","M","2020-11",196.4668,
"AUS","M1","TOT","IDX2015","M","2020-12",199.7648,
"CAN","M1","TOT","IDX2015","M","2012-01",77.09515,
"CAN","M1","TOT","IDX2015","M","2012-02",77.34154,
"CAN","M1","TOT","IDX2015","M","2012-03",77.62029,
"CAN","M1","TOT","IDX2015","M","2012-04",78.58662,
"CAN","M1","TOT","IDX2015","M","2012-05",79.49732,
"CAN","M1","TOT","IDX2015","M","2012-06",80.26376,
"CAN","M1","TOT","IDX2015","M","2012-07",80.79105,
"CAN","M1","TOT","IDX2015","M","2012-08",80.97482,
"CAN","M1","TOT","IDX2015","M","2012-09",80.79283,
"CAN","M1","TOT","IDX2015","M","2012-10",80.81886,
"CAN","M1","TOT","IDX2015","M","2012-11",81.64321,
"CAN","M1","TOT","IDX2015","M","2012-12",82.01405,
"CAN","M1","TOT","IDX2015","M","2013-01",82.46705,
"CAN","M1","TOT","IDX2015","M","2013-02",84.16742,
"CAN","M1","TOT","IDX2015","M","2013-03",85.04942,
"CAN","M1","TOT","IDX2015","M","2013-04",85.40807,
"CAN","M1","TOT","IDX2015","M","2013-05",85.41747,
"CAN","M1","TOT","IDX2015","M","2013-06",85.8918,
"CAN","M1","TOT","IDX2015","M","2013-07",86.27851,
"CAN","M1","TOT","IDX2015","M","2013-08",86.98195,
"CAN","M1","TOT","IDX2015","M","2013-09",87.29119,
"CAN","M1","TOT","IDX2015","M","2013-10",87.8637,
"CAN","M1","TOT","IDX2015","M","2013-11",88.85098,
"CAN","M1","TOT","IDX2015","M","2013-12",89.57169,
"CAN","M1","TOT","IDX2015","M","2014-01",90.62591,
"CAN","M1","TOT","IDX2015","M","2014-02",90.68077,
"CAN","M1","TOT","IDX2015","M","2014-03",91.17175,
"CAN","M1","TOT","IDX2015","M","2014-04",91.08475,
"CAN","M1","TOT","IDX2015","M","2014-05",91.82324,
"CAN","M1","TOT","IDX2015","M","2014-06",92.18697,
"CAN","M1","TOT","IDX2015","M","2014-07",92.50154,
"CAN","M1","TOT","IDX2015","M","2014-08",93.36741,
"CAN","M1","TOT","IDX2015","M","2014-09",94.03796,
"CAN","M1","TOT","IDX2015","M","2014-10",94.9559,
"CAN","M1","TOT","IDX2015","M","2014-11",95.15173,
"CAN","M1","TOT","IDX2015","M","2014-12",95.71281,
"CAN","M1","TOT","IDX2015","M","2015-01",95.89277,
"CAN","M1","TOT","IDX2015","M","2015-02",96.8149,
"CAN","M1","TOT","IDX2015","M","2015-03",97.38322,
"CAN","M1","TOT","IDX2015","M","2015-04",97.94633,
"CAN","M1","TOT","IDX2015","M","2015-05",98.30535,
"CAN","M1","TOT","IDX2015","M","2015-06",99.24196,
"CAN","M1","TOT","IDX2015","M","2015-07",100.665,
"CAN","M1","TOT","IDX2015","M","2015-08",101.6887,
"CAN","M1","TOT","IDX2015","M","2015-09",102.4181,
"CAN","M1","TOT","IDX2015","M","2015-10",102.7615,
"CAN","M1","TOT","IDX2015","M","2015-11",103.2641,
"CAN","M1","TOT","IDX2015","M","2015-12",103.6182,
"CAN","M1","TOT","IDX2015","M","2016-01",104.5443,
"CAN","M1","TOT","IDX2015","M","2016-02",105.3804,
"CAN","M1","TOT","IDX2015","M","2016-03",105.5933,
"CAN","M1","TOT","IDX2015","M","2016-04",105.9325,
"CAN","M1","TOT","IDX2015","M","2016-05",106.5554,
"CAN","M1","TOT","IDX2015","M","2016-06",107.2036,
"CAN","M1","TOT","IDX2015","M","2016-07",109.2079,
"CAN","M1","TOT","IDX2015","M","2016-08",110.1214,
"CAN","M1","TOT","IDX2015","M","2016-09",111.2251,
"CAN","M1","TOT","IDX2015","M","2016-10",112.2208,
"CAN","M1","TOT","IDX2015","M","2016-11",113.0167,
"CAN","M1","TOT","IDX2015","M","2016-12",113.6818,
"CAN","M1","TOT","IDX2015","M","2017-01",115.2319,
"CAN","M1","TOT","IDX2015","M","2017-02",115.0239,
"CAN","M1","TOT","IDX2015","M","2017-03",116.1548,
"CAN","M1","TOT","IDX2015","M","2017-04",117.6017,
"CAN","M1","TOT","IDX2015","M","2017-05",118.8502,
"CAN","M1","TOT","IDX2015","M","2017-06",119.6842,
"CAN","M1","TOT","IDX2015","M","2017-07",120.1918,
"CAN","M1","TOT","IDX2015","M","2017-08",120.3931,
"CAN","M1","TOT","IDX2015","M","2017-09",120.5532,
"CAN","M1","TOT","IDX2015","M","2017-10",121.236,
"CAN","M1","TOT","IDX2015","M","2017-11",121.4159,
"CAN","M1","TOT","IDX2015","M","2017-12",122.2593,
"CAN","M1","TOT","IDX2015","M","2018-01",122.1675,
"CAN","M1","TOT","IDX2015","M","2018-02",122.8456,
"CAN","M1","TOT","IDX2015","M","2018-03",123.5062,
"CAN","M1","TOT","IDX2015","M","2018-04",123.9015,
"CAN","M1","TOT","IDX2015","M","2018-05",123.3708,
"CAN","M1","TOT","IDX2015","M","2018-06",124.4633,
"CAN","M1","TOT","IDX2015","M","2018-07",124.7651,
"CAN","M1","TOT","IDX2015","M","2018-08",125.5178,
"CAN","M1","TOT","IDX2015","M","2018-09",126.0448,
"CAN","M1","TOT","IDX2015","M","2018-10",126.2972,
"CAN","M1","TOT","IDX2015","M","2018-11",127.116,
"CAN","M1","TOT","IDX2015","M","2018-12",127.7439,
"CAN","M1","TOT","IDX2015","M","2019-01",127.3302,
"CAN","M1","TOT","IDX2015","M","2019-02",127.4062,
"CAN","M1","TOT","IDX2015","M","2019-03",127.9447,
